"personId","tpp","ftp","fgp","ppg","rpg","apg","bpg","mpg","spg","assists","blocks","steals","turnovers","offReb","defReb","totReb","fgm","fga","tpm","tpa","ftm","fta","pFouls","points","gamesPlayed","gamesStarted","plusMinus","min","dd2","td3"
203078,37.7,81.9,45.5,21.7,4.1,4.0,0.4,34.6,1.2,2367,229,671,1378,496,1879,2375,4611,10130,1331,3534,2156,2634,1302,12709,586,552,256,20286,33,2
203081,37.3,89.3,43.8,24.6,4.2,6.6,0.3,36.4,1.0,4361,204,642,1853,402,2364,2766,5314,12135,1964,5260,3638,4072,1301,16230,660,660,1771,24005,100,1
203082,36.9,83.8,41.9,11.3,2.9,1.2,0.3,25.0,0.9,699,205,517,569,212,1505,1717,2474,5904,1150,3116,671,801,1047,6769,598,178,174,14923,1,0
203083,13.5,46.6,53.8,14.6,13.8,1.4,1.6,30.9,1.4,844,968,875,1256,2959,5667,8626,3843,7146,15,111,1411,3025,1980,9112,625,574,-676,19324,425,0
203084,37.4,79.9,45.0,13.8,5.0,1.8,0.2,31.5,0.7,1151,125,458,786,668,2634,3302,3326,7392,827,2213,1586,1986,1074,9065,657,596,321,20689,33,0
203087,34.4,85.7,44.4,10.5,3.7,1.6,0.4,21.2,0.7,816,187,374,424,272,1613,1885,1970,4434,536,1558,848,989,849,5324,509,136,311,10797,12,0
203090,32.7,61.1,47.8,7.0,3.7,0.9,0.6,22.8,1.0,516,359,527,473,636,1377,2013,1544,3231,332,1014,458,749,1121,3878,551,328,-548,12544,10,0
203095,37.5,80.5,44.9,14.3,2.7,2.6,0.1,28.5,0.9,1457,70,474,917,229,1284,1513,2836,6315,1006,2680,1217,1511,1338,7895,551,407,-656,15708,2,0
203107,37.2,82.8,47.3,7.4,3.0,4.2,0.2,23.2,0.9,1301,50,266,432,275,663,938,857,1813,212,570,381,460,550,2307,310,161,-5,7202,11,1
203109,34.4,77.9,42.0,9.6,4.2,1.6,0.3,24.9,1.0,1023,215,630,569,463,2260,2723,2158,5143,979,2846,976,1253,1305,6271,652,326,1129,16254,21,0
203110,31.7,71.2,43.4,8.8,6.9,5.2,1.0,28.2,1.4,3192,640,845,1299,680,3542,4222,1966,4533,542,1711,940,1320,1718,5414,616,468,3448,17401,119,27
203114,39.6,87.6,46.1,16.6,4.8,3.5,0.2,31.7,1.2,1982,104,693,1120,342,2340,2682,3419,7415,1005,2537,1518,1732,1460,9361,563,488,1376,17823,29,1
203115,34.9,78.3,43.3,11.2,4.2,2.6,0.4,24.9,0.8,1385,226,409,750,403,1869,2272,2238,5169,646,1849,910,1162,858,6032,540,201,78,13472,23,0
203118,36.2,75.6,45.6,6.8,3.2,0.9,0.1,16.6,0.3,477,65,176,353,373,1311,1684,1397,3065,470,1298,372,492,787,3636,532,28,-60,8827,3,0
203121,38.4,83.8,42.0,5.9,1.7,1.4,0.2,19.9,0.4,363,65,119,169,50,394,444,541,1289,341,888,160,191,522,1583,268,28,41,5325,0,0
203145,35.3,72.4,41.5,8.5,3.2,1.8,0.5,20.8,1.0,1080,290,600,851,215,1688,1903,1806,4354,632,1790,825,1139,1204,5069,596,279,-735,12403,2,0
203200,36.4,82.2,39.9,8.4,3.0,1.5,0.4,23.9,1.0,692,197,486,423,186,1238,1424,1403,3512,747,2052,468,569,758,4021,476,205,-712,11373,5,0
203210,37.8,77.3,47.0,8.2,6.1,0.9,0.4,21.6,0.6,364,167,223,443,707,1705,2412,1220,2597,327,864,474,613,1074,3241,397,156,-348,8594,47,0
203382,30.4,79.7,48.8,5.9,4.6,0.8,0.5,16.0,0.2,415,250,113,435,792,1557,2349,1216,2494,104,342,514,645,1145,3050,514,168,418,8215,19,0
203457,22.2,64.8,54.6,7.7,6.2,1.1,1.5,22.2,1.3,449,587,515,546,791,1707,2498,1283,2348,2,9,531,819,1027,3099,403,186,-1149,8934,46,0
203458,33.0,68.5,50.2,7.8,6.0,0.8,1.0,19.3,0.4,429,503,201,611,982,2073,3055,1514,3013,102,309,826,1205,1313,3956,505,199,-1362,9744,70,0
203463,36.2,77.6,41.7,8.9,2.4,1.0,0.2,23.1,0.7,493,90,312,539,206,926,1132,1495,3586,673,1857,523,674,1035,4186,470,261,-593,10876,2,0
203468,39.8,83.0,45.4,18.7,3.3,3.2,0.4,31.0,0.9,1610,192,434,864,300,1371,1671,3605,7948,1109,2789,1098,1323,1084,9417,503,406,859,15605,11,1
203469,23.1,72.9,51.3,8.6,6.0,1.4,0.7,22.9,0.7,640,309,303,477,895,1793,2688,1453,2831,31,134,917,1258,1169,3854,446,272,177,10195,33,0
203471,33.6,82.9,43.6,14.2,2.9,4.6,0.1,26.0,0.8,2479,72,443,1293,225,1334,1559,2875,6599,609,1814,1317,1588,1070,7676,540,221,202,14050,27,0
203476,35.9,79.1,50.0,7.9,6.1,1.4,1.0,21.8,0.8,731,520,444,625,977,2287,3264,1609,3216,139,387,875,1106,1212,4232,538,205,-831,11721,68,0
203482,36.5,77.7,47.3,9.7,4.9,1.9,0.5,21.8,0.7,1035,253,399,765,626,2072,2698,1941,4100,649,1780,792,1019,1518,5323,546,143,930,11888,24,0
203484,35.2,80.0,41.7,11.3,3.1,1.6,0.2,29.0,1.1,943,114,637,582,375,1440,1815,2369,5675,944,2685,922,1153,1070,6604,583,441,87,16893,6,0
203486,5.1,57.0,57.7,8.5,6.4,2.3,0.9,22.0,0.8,1342,530,437,871,1160,2553,3713,1927,3338,2,39,1040,1825,1594,4896,577,302,-391,12716,77,2
203487,25.5,71.0,40.1,10.3,4.4,4.4,0.6,25.3,1.3,1687,211,489,902,373,1321,1694,1474,3675,178,699,848,1194,950,3974,386,212,-842,9783,33,5
203488,36.8,84.7,45.8,6.0,3.2,0.9,0.5,15.7,0.3,356,185,132,243,331,911,1242,844,1842,340,924,294,347,572,2322,389,30,-192,6102,4,0
203490,40.3,79.3,47.9,10.9,5.0,1.5,0.4,26.5,1.1,673,187,499,356,504,1682,2186,1864,3889,590,1464,497,627,810,4815,440,301,419,11664,38,0
203493,38.6,83.0,42.8,7.2,2.3,1.2,0.1,20.7,0.6,398,46,190,201,112,658,770,900,2101,479,1241,186,224,424,2465,342,178,-96,7067,0,0
203496,35.9,81.2,40.6,12.3,5.8,1.5,0.9,30.2,1.7,672,410,732,730,405,2166,2571,1817,4474,1021,2847,776,956,1334,5431,441,393,181,13337,41,0
203497,0.0,62.8,64.1,12.0,11.2,1.4,2.2,29.6,0.7,706,1168,351,846,1703,4115,5818,2302,3593,0,6,1631,2596,1352,6235,521,429,2051,15444,281,0
203500,7.7,55.1,59.1,9.7,7.7,1.2,1.0,26.9,0.9,698,560,508,821,1989,2422,4411,2304,3897,1,13,921,1672,1470,5530,573,509,1646,15417,122,1
203501,35.8,81.4,42.4,13.7,2.7,1.8,0.1,26.8,0.6,956,72,319,564,177,1242,1419,2501,5903,1078,3013,1056,1298,875,7136,519,256,-438,13919,4,0
203503,39.5,84.0,43.1,6.4,2.3,1.2,0.2,22.4,0.4,629,126,242,306,151,1081,1232,1243,2881,670,1697,263,313,750,3419,535,292,-97,11965,3,0
203504,34.8,80.4,41.2,10.2,1.9,3.3,0.1,22.1,0.6,1447,48,251,520,155,678,833,1725,4183,527,1516,496,617,585,4473,439,129,-579,9715,15,0
203506,34.8,79.2,43.8,17.6,4.6,4.0,0.5,33.0,1.6,1782,215,736,1149,267,1813,2080,2907,6633,725,2084,1368,1727,1077,7907,450,390,-12,14857,24,2
203507,28.7,71.8,52.9,20.7,9.1,4.5,1.3,32.6,1.2,2550,749,670,1623,967,4233,5200,4323,8165,360,1253,2843,3960,1716,11849,572,507,1517,18633,248,25
203516,35.7,79.6,45.6,6.6,3.3,0.9,0.3,20.3,0.6,349,110,232,293,379,870,1249,860,1884,300,841,467,587,763,2487,377,129,-208,7652,5,0
203521,36.8,83.8,38.9,5.6,1.8,3.7,0.0,20.4,0.5,1591,20,202,546,161,613,774,863,2217,396,1075,305,364,824,2427,434,92,259,8850,7,0
203524,33.6,80.0,39.3,5.7,3.1,1.5,0.2,21.6,0.7,613,93,285,361,264,999,1263,800,2038,338,1005,388,485,706,2326,410,173,-383,8870,2,0
203526,37.6,79.3,44.6,5.3,1.4,1.9,0.1,14.7,0.6,558,24,180,272,60,355,415,589,1320,185,492,188,237,371,1551,293,63,393,4302,0,0
203552,44.0,85.2,47.3,10.4,2.0,1.9,0.1,23.2,0.7,548,39,208,303,94,489,583,1102,2331,519,1179,312,366,440,3035,292,114,438,6770,2,0
203585,34.1,64.8,41.8,5.9,3.0,1.3,0.2,20.9,0.5,305,42,124,155,202,498,700,521,1245,202,593,125,193,362,1369,234,118,-18,4879,2,0
203648,23.3,44.2,54.6,3.2,1.8,0.8,0.2,8.5,0.4,43,9,21,39,46,57,103,77,141,7,30,19,43,65,180,57,3,-56,482,1,0
203897,38.4,82.6,45.7,18.8,3.8,3.7,0.3,31.2,0.9,1490,115,375,1066,191,1312,1503,2692,5897,800,2081,1294,1567,892,7478,398,311,-1665,12433,10,0
203901,28.5,63.3,45.1,11.1,4.3,6.3,0.3,29.1,1.3,2702,144,546,1006,489,1361,1850,1946,4316,176,617,653,1032,920,4721,426,370,-1105,12409,68,17
203903,34.3,82.8,44.3,15.0,3.2,2.5,0.1,26.9,0.9,1264,69,428,835,426,1189,1615,2868,6472,817,2383,960,1160,820,7513,500,140,-1456,13435,5,0
203914,35.9,80.1,45.4,12.0,2.6,2.1,0.2,29.1,1.2,811,85,477,473,240,768,1008,1742,3839,565,1576,594,742,691,4643,387,325,313,11245,0,0
203915,31.8,79.4,41.0,12.9,2.8,5.0,0.3,25.7,0.7,1587,91,216,565,133,755,888,1324,3228,441,1386,1034,1302,749,4123,320,133,-332,8226,19,0
203918,36.8,83.8,42.3,11.6,2.8,1.8,0.2,26.4,0.7,692,72,283,412,139,918,1057,1616,3823,611,1660,606,723,815,4449,383,253,-147,10123,0,0
203920,17.4,69.4,52.2,4.8,4.5,0.9,0.5,16.5,0.4,174,101,84,95,356,475,831,326,625,4,23,229,330,282,885,186,29,-191,3073,7,0
203924,34.8,70.2,45.7,10.5,3.9,1.2,1.1,25.4,0.6,607,558,301,510,456,1505,1961,1813,3964,472,1355,1124,1601,1138,5222,498,213,-710,12666,12,0
203925,43.8,77.4,48.4,10.9,3.2,1.6,0.2,25.1,0.5,616,74,180,437,215,993,1208,1513,3127,780,1782,336,434,782,4142,379,215,-232,9517,2,0
203926,40.9,82.6,47.3,8.7,2.3,0.9,0.1,20.4,0.2,408,45,92,286,191,875,1066,1496,3165,581,1422,385,466,655,3958,454,30,78,9268,1,0
203932,32.3,69.5,44.8,12.9,6.4,2.5,0.6,28.6,0.8,1071,277,330,631,678,2081,2759,2077,4636,484,1499,888,1278,868,5526,430,341,-452,12297,79,2
