"Combined_Key","Last_Update","Confirmed","Deaths","Recovered","Incident_Rate","Case_Fatality_Ratio"
"Tumbes, Peru","2021-04-01 04:27:05",13372,481,0,5316.8986083499,3.5970685013460963
"Ucayali, Peru","2021-04-01 04:27:05",26554,684,0,4507.553895773213,2.575883106123371
"Unknown, Peru","2021-04-01 04:27:05",8730,207,1468457,,2.3711340206185567
Philippines,"2021-04-01 04:27:05",747288,13297,603746,681.9498091299242,1.7793675263084647
Poland,"2021-04-01 04:27:05",2321717,53045,1861925,6134.544961166266,2.2847315155120107
Portugal,"2021-04-01 04:27:05",821722,16848,778210,8058.699735120367,2.0503284565826396
Qatar,"2021-04-01 04:27:05",179964,291,164121,6246.450959022028,0.16169900646796026
Romania,"2021-04-01 04:27:05",952803,23538,850672,4952.795248408826,2.4703952443474675
"Adygea Republic, Russia","2021-04-01 04:27:05",14101,163,13365,3110.221979107849,1.1559463867810793
"Altai Krai, Russia","2021-04-01 04:27:05",47137,1832,42198,2005.7615059912855,3.8865434796444407
"Altai Republic, Russia","2021-04-01 04:27:05",16655,191,16268,7637.7010313533265,1.1468027619333534
"Amur Oblast, Russia","2021-04-01 04:27:05",21887,243,20674,2741.27531236536,1.1102480924749851
"Arkhangelsk Oblast, Russia","2021-04-01 04:27:05",59687,825,55265,5167.580353030403,1.3822105316065474
"Astrakhan Oblast, Russia","2021-04-01 04:27:05",30712,668,28814,3018.3368484364837,2.1750455847877053
